,value,metric,type
0,0.020251025551957996,ade,best_of
1,0.045423381638336875,ade,best_of
2,0.028059422677687712,ade,best_of
3,0.02622635580350846,ade,best_of
4,0.0403057964483857,ade,best_of
5,0.04536170918174259,ade,best_of
6,0.04420114359579116,ade,best_of
7,0.030593671042946968,ade,best_of
8,0.05731750395497739,ade,best_of
9,0.037809752520676365,ade,best_of
10,0.056861433533402755,ade,best_of
11,0.06400612675952926,ade,best_of
12,0.03767210133545911,ade,best_of
13,0.04125278777979603,ade,best_of
14,0.07454842955142817,ade,best_of
15,0.021709561788858214,ade,best_of
16,0.03779637821980228,ade,best_of
17,0.08482376385821937,ade,best_of
18,0.021380623759752745,ade,best_of
19,0.023353731446914067,ade,best_of
20,0.06142041923750475,ade,best_of
21,0.43421107073217424,ade,best_of
22,0.6770645744323726,ade,best_of
23,0.3912133269087719,ade,best_of
24,0.5276334606337482,ade,best_of
25,0.5609033181659174,ade,best_of
26,0.6644977525235849,ade,best_of
27,0.23794215925969434,ade,best_of
28,0.6687382911524318,ade,best_of
29,0.10858048082099396,ade,best_of
30,0.3690714187256614,ade,best_of
31,0.5444978929478698,ade,best_of
32,0.4552393301549831,ade,best_of
33,0.4241285925856211,ade,best_of
34,0.6878040127099165,ade,best_of
35,0.47681850080451355,ade,best_of
36,0.35786474827065273,ade,best_of
37,0.8422535720344135,ade,best_of
38,0.4819150623568654,ade,best_of
39,0.12195989852182605,ade,best_of
40,0.24156932689893065,ade,best_of
41,0.17011499643180325,ade,best_of
42,0.1616187748598115,ade,best_of
43,0.22951901549835454,ade,best_of
44,0.37197685951445075,ade,best_of
45,0.23715175303128833,ade,best_of
46,0.15283342127798966,ade,best_of
47,0.33679235375848354,ade,best_of
48,0.17190376229530904,ade,best_of
49,0.12423116995471369,ade,best_of
50,0.12047507271955833,ade,best_of
51,0.048747948688882166,ade,best_of
52,0.057904053464544226,ade,best_of
53,0.040927952258114124,ade,best_of
54,0.030434142601631724,ade,best_of
55,0.042393534839523524,ade,best_of
56,0.04967010121938894,ade,best_of
57,0.05374805045784393,ade,best_of
58,0.06119810023179062,ade,best_of
59,0.047731965231935604,ade,best_of
60,0.05901163614413382,ade,best_of
61,0.05519152193242493,ade,best_of
62,0.06362243165016675,ade,best_of
63,0.14985021077740093,ade,best_of
64,0.2069254213108986,ade,best_of
65,0.015892321761042508,ade,best_of
66,0.017294856677258854,ade,best_of
67,0.058825524790015564,ade,best_of
68,0.017369247081454913,ade,best_of
69,0.024736101987159486,ade,best_of
70,0.05710737626427165,ade,best_of
71,0.00810127016390005,ade,best_of
72,0.008040051352349975,ade,best_of
73,0.0601049356413591,ade,best_of
74,0.019691854138165512,ade,best_of
75,0.014549622854777561,ade,best_of
76,0.06609730839220597,ade,best_of
77,0.011467428440544242,ade,best_of
78,0.016012482604131406,ade,best_of
79,0.08878749353269515,ade,best_of
80,0.09933413687607817,ade,best_of
81,0.1520654389705002,ade,best_of
82,0.15187724255832855,ade,best_of
83,0.1577361430129047,ade,best_of
84,0.04101067708780284,ade,best_of
85,0.039601630449998614,ade,best_of
86,0.02778333963553851,ade,best_of
87,0.02436545723190377,ade,best_of
88,0.02886345764590022,ade,best_of
89,0.039940108273638496,ade,best_of
90,0.08779722926851535,ade,best_of
91,0.02860589868852138,ade,best_of
92,0.042733908472432545,ade,best_of
93,0.05684030635196711,ade,best_of
94,0.0763091928511931,ade,best_of
95,0.10167796752640952,ade,best_of
96,0.08607567584332775,ade,best_of
97,0.11008843423178168,ade,best_of
98,0.14955565137671364,ade,best_of
99,0.2014649772654337,ade,best_of
100,0.12359256008036862,ade,best_of
101,0.18301925050689913,ade,best_of
102,0.155173337048683,ade,best_of
103,0.12337087063001811,ade,best_of
104,0.02216843113545128,ade,best_of
105,0.01566630685926139,ade,best_of
106,0.007897350461405345,ade,best_of
107,0.015704473881885266,ade,best_of
108,0.009055284257598554,ade,best_of
109,0.008572180970022793,ade,best_of
110,0.012503129091286244,ade,best_of
111,0.013477724860351264,ade,best_of
112,0.01047467204350432,ade,best_of
113,0.01533624001993687,ade,best_of
114,0.011401677300015201,ade,best_of
115,0.01106086688726187,ade,best_of
116,0.030751209611477193,ade,best_of
117,0.015597786371873576,ade,best_of
118,0.01630953101278796,ade,best_of
119,0.00796613334875329,ade,best_of
120,0.012966834726479984,ade,best_of
121,0.006703504457153786,ade,best_of
122,0.012530738211880466,ade,best_of
123,0.01449901951309073,ade,best_of
124,0.009756520023231673,ade,best_of
125,0.011845180346402154,ade,best_of
126,0.009390800719754911,ade,best_of
127,0.007265856161037583,ade,best_of
128,0.011126086186762996,ade,best_of
129,0.010047956598268184,ade,best_of
130,0.008699307897859698,ade,best_of
131,0.010322228983167678,ade,best_of
132,0.009528259158337127,ade,best_of
133,0.009767066835963355,ade,best_of
134,0.016136705467189368,ade,best_of
135,0.005929281316439927,ade,best_of
136,0.011040550829883339,ade,best_of
137,0.008013461550247137,ade,best_of
138,0.012543434904417542,ade,best_of
139,0.007525320704795539,ade,best_of
140,0.31023469368750234,ade,best_of
141,0.20898537906920586,ade,best_of
142,0.20857658798571568,ade,best_of
143,0.31642762038187217,ade,best_of
144,0.2805953818695512,ade,best_of
145,0.18745196391975802,ade,best_of
146,0.3177185327609244,ade,best_of
147,0.37599281371777565,ade,best_of
148,0.17957684799259668,ade,best_of
149,0.41115011301425913,ade,best_of
150,0.020651705676092064,ade,best_of
151,0.00641690481145898,ade,best_of
152,0.20646960445160675,ade,best_of
153,0.6001900401099022,ade,best_of
154,0.012573082947056067,ade,best_of
155,0.017757202697633267,ade,best_of
156,0.37062102217022086,ade,best_of
157,0.5054381396953151,ade,best_of
158,0.020372448846542345,ade,best_of
159,0.00837028893951723,ade,best_of
160,0.3022123687238241,ade,best_of
161,0.48197814426242735,ade,best_of
162,0.02220425594436863,ade,best_of
163,0.01222073275597179,ade,best_of
164,0.27941828347296643,ade,best_of
165,0.6396668092554082,ade,best_of
166,0.01937498707159494,ade,best_of
167,0.012174769165748611,ade,best_of
168,0.34317255503247773,ade,best_of
169,0.6357753563020713,ade,best_of
170,0.03818558103991827,ade,best_of
171,0.00953913233414126,ade,best_of
172,0.2403976411862364,ade,best_of
173,0.5034012913084215,ade,best_of
174,0.013670966294358914,ade,best_of
175,0.009969784326838175,ade,best_of
176,0.2725264565937377,ade,best_of
177,0.487634942871658,ade,best_of
178,0.006477164051417572,ade,best_of
179,0.011082262032114772,ade,best_of
180,0.03531459253856184,ade,best_of
181,0.032633522003969684,ade,best_of
182,0.5337583427407848,ade,best_of
183,0.32200844539662765,ade,best_of
184,0.05971584734581931,ade,best_of
185,0.03378199299712232,ade,best_of
186,0.41628409176811226,ade,best_of
187,0.3659620575096427,ade,best_of
188,0.0540499389629771,ade,best_of
189,0.02565015882221219,ade,best_of
190,0.2983762537846584,ade,best_of
191,0.5438448474258194,ade,best_of
192,0.052017244197783585,ade,best_of
193,0.02770651038779509,ade,best_of
194,0.12370021477197657,ade,best_of
195,0.05473674052214387,ade,best_of
196,0.06976580631795216,ade,best_of
197,0.021658038124898967,ade,best_of
198,0.30626968006161,ade,best_of
199,0.2485456321948026,ade,best_of
200,0.0813624056031472,ade,best_of
201,0.0386870030442836,ade,best_of
202,0.6000628069741631,ade,best_of
203,0.3953239789975905,ade,best_of
204,0.07604008225599201,ade,best_of
205,0.0199279212313638,ade,best_of
206,0.604782247688382,ade,best_of
207,0.3457563062797324,ade,best_of
208,0.053933150256639945,ade,best_of
209,0.027912594102612247,ade,best_of
210,0.2167248109715889,ade,best_of
211,0.5176762844971607,ade,best_of
212,0.08092708571910269,ade,best_of
213,0.02254123190403448,ade,best_of
214,0.5088755533852157,ade,best_of
215,0.5508616129949049,ade,best_of
216,0.11107751235392958,ade,best_of
217,0.025573909159018107,ade,best_of
218,0.1578780750334429,ade,best_of
219,0.27733060542414173,ade,best_of
220,0.10978635412843762,ade,best_of
221,0.035337761464199244,ade,best_of
222,0.3692975699189642,ade,best_of
223,0.4734512981729173,ade,best_of
224,0.121842186646394,ade,best_of
225,0.017563897721536614,ade,best_of
226,0.5505818220055455,ade,best_of
227,0.34512072520187004,ade,best_of
228,0.12187629495760566,ade,best_of
229,0.015468383238739778,ade,best_of
230,0.6653918874182579,ade,best_of
231,0.7089940581117066,ade,best_of
232,0.10509697898987275,ade,best_of
233,0.0178581033798282,ade,best_of
234,0.5825668930357227,ade,best_of
235,0.5394763063187865,ade,best_of
236,0.12497312954835198,ade,best_of
237,0.026828344802222192,ade,best_of
238,0.1435669216710874,ade,best_of
239,0.1880080609638476,ade,best_of
240,0.5624672361845947,ade,best_of
241,0.19124048625353138,ade,best_of
242,0.04516701959058705,ade,best_of
243,0.19549067497090122,ade,best_of
244,0.14486063376479216,ade,best_of
245,0.22430936195747017,ade,best_of
246,0.026561375681770093,ade,best_of
247,0.2417748423256374,ade,best_of
248,0.18165024793794124,ade,best_of
249,0.24290956164143152,ade,best_of
250,0.04088288831501365,ade,best_of
251,0.5412686112559716,ade,best_of
252,0.2854145453438954,ade,best_of
253,0.08773374068276436,ade,best_of
254,0.023704695152634722,ade,best_of
255,0.19546886184307496,ade,best_of
256,0.23222914446680654,ade,best_of
257,0.23082797951422215,ade,best_of
258,0.021856776594786586,ade,best_of
259,0.43944476835508767,ade,best_of
260,0.3178189356297686,ade,best_of
261,0.05459744504568901,ade,best_of
262,0.03344860971864995,ade,best_of
263,0.2582122984056739,ade,best_of
264,0.24773564737262646,ade,best_of
265,0.04224582599332489,ade,best_of
266,0.039507694775832006,ade,best_of
267,0.6439676169477033,ade,best_of
268,0.3974788556882503,ade,best_of
269,0.09061554310789977,ade,best_of
270,0.035248673050278206,ade,best_of
271,0.451731648230218,ade,best_of
272,0.609137511284632,ade,best_of
273,0.06489990866624772,ade,best_of
274,0.029535638998625314,ade,best_of
275,0.3557012612145567,ade,best_of
276,0.38040531392563603,ade,best_of
277,0.058490204446353423,ade,best_of
278,0.03147402096156988,ade,best_of
279,0.7825000701933695,ade,best_of
280,0.4134745615307371,ade,best_of
281,0.11065301764481479,ade,best_of
